Category,Location,Cost,Rate,Area,Facing,Status,Floor,Furnishing,Ownership,Bathroom,Owner_name
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq",1387,North-East,Ready to Move,3rd of 26 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
3 BHK Apartment / Flat for Sale,"Delhi Cantonment, New Delhi",1.78Cr,"@11,259/Sq",1581,North-East,Ready to Move,8th of 26 Floor,Semi Furnished,Power of Attorney,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq",1387,North-East,Ready to Move,13th of 26 Floor,Semi Furnished,Freehold,2,utkarsh (Agent)
2 BHK Apartment / Flat for Sale,"Keshav Puram, New Delhi",15Lac,"@3,000/Sq",500,North,Ready to Move,1st of 4 Floor,Semi Furnished,Power of Attorney,2,DG (Owner)
3 BHK Builder Floor for Sale,"Janakpuri, New Delhi",2.1Cr,"@15,556/Sq",1350,North,Ready to Move,4th of 4 Floor,Semi Furnished,Freehold,3,Harpreet singh (Agent)
3 BHK Builder Floor for Sale,"Janakpuri, New Delhi",2.75Cr,"@183,333/Sq",150,North,Under Construction,2nd of 4 Floor,Semi Furnished,Freehold,3,Harpreet singh (Agent)
3 BHK Builder Floor for Sale,"Janakpuri, New Delhi",2.25Cr,"@16,667/Sq",1350,North,Under Construction,Ground of 4 Floor,Fully Furnished,Freehold,3,Harpreet singh (Agent)
3 BHK Builder Floor for Sale,"Janakpuri Block C1, New Delhi",3.25Cr,"@18,056/Sq",1800,West,Ready to Move,1st of 3 Floor,Fully Furnished,Freehold,3,Harpreet Singh (Agent)
3 BHK Builder Floor for Sale,"Vikaspuri Block C, New Delhi",1.35Cr,"@10,000/Sq",1350,North,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,3,Himanshu gupta (Agent)
2 BHK Villa / House for Sale,"Ashok Vihar Phase 1, New Delhi",7.5Cr,"@500,000/Sq",150,South-East,Ready to Move,Ground of Ground Floor,Unfurnished,Freehold,2,S K Bharti (Agent)
2 BHK Villa / House for Sale,"Chirag Delhi, New Delhi",32Lac,"@9,846/Sq",325,South,Ready to Move,Ground of 3 Floor,Fully Furnished,Power of Attorney,2,Asha Kadwal (Owner)
2 BHK Apartment / Flat for Sale,"Chirag Delhi, New Delhi",12Lac,"@30,000/Sq",40,South,Ready to Move,1st of 3 Floor,Semi Furnished,Power of Attorney,1,Asha Kadwal (Owner)
2 BHK Villa / House for Sale,"Chirag Delhi, New Delhi",32Lac,"@80,000/Sq",40,South,Ready to Move,Ground of 3 Floor,Fully Furnished,Power of Attorney,2,Asha Kadwal (Owner)
2 BHK Builder Floor for Sale,"Chirag Delhi, New Delhi",32Lac,"@48,485/Sq",66,South,Under Construction,4th of 4 Floor,Semi Furnished,Freehold,1,Asha Kadwal (Owner)
2 BHK Builder Floor for Sale,"Chirag Delhi, New Delhi",28Lac,"@42,424/Sq",66,South,Under Construction,3rd of 4 Floor,Semi Furnished,Freehold,1,Asha Kadwal (Owner)
2 BHK Builder Floor for Sale,"Chirag Delhi, New Delhi",28Lac,"@46,667/Sq",60,East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,1,Asha Kadwal (Owner)
3 BHK Builder Floor for Sale,"Sunder Vihar, New Delhi",3Cr,"@16,667/Sq",1800,North,Ready to Move,3rd of 4 Floor,Semi Furnished,Freehold,3,Harpreet singh (Agent)
4 BHK Villa / House for Sale,"Janakpuri, New Delhi",7Cr,"@38,889/Sq",1800,North,Ready to Move,Ground of 2 Floor,Semi Furnished,Freehold,4,Harpreet Singh (Agent)
3 BHK Builder Floor for Sale,"Janakpuri, New Delhi",2.75Cr,"@15,278/Sq",1800,North,Ready to Move,3rd of 4 Floor,Fully Furnished,Freehold,3,Harpreet singh (Agent)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.35Cr,"@11,250/Sq",1200,South-East,Ready to Move,1st of 4 Floor,Unfurnished,Freehold,2,Harpreet singh (Agent)
3 BHK Apartment / Flat for Sale,"Gurgaon Faridabad Road, New Delhi",85Lac,"@5,667/Sq",1500,North-East,Ready to Move,2nd of 10 Floor,Semi Furnished,Freehold,3,Harsh Khatter (Agent)
3 BHK Builder Floor for Sale,"Uttam Nagar West, New Delhi",45Lac,"@4,500/Sq",1000,South,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Rajesh Kumar (Agent)
3 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",45Lac,"@9,000/Sq",500,East,Ready to Move,1st of 1 Floor,Unfurnished,Freehold,3,Harpreet singh (Agent)
3 BHK Apartment / Flat for Sale,"Dwarka Sector 3, New Delhi",1.33Cr,"@7,000/Sq",1900,East,Ready to Move,5th of 9 Floor,Semi Furnished,Freehold,3,shruti bansal (Agent)
3 BHK Apartment / Flat for Sale,"Dwarka, New Delhi",1.44Cr,"@9,290/Sq",1550,East,Ready to Move,3rd of 10 Floor,Semi Furnished,Freehold,3,shruti bansal (Agent)
4 BHK Apartment / Flat for Sale,"Dwarka, New Delhi",2.5Cr,"@10,870/Sq",2300,North-East,Ready to Move,4th of 5 Floor,Semi Furnished,Freehold,3,Sandeep Bansal (Agent)
2 BHK Villa / House for Sale,"Ravi Nagar, New Delhi",65Lac,"@260,000/Sq",25,West,Under Construction,1st of 2 Floor,Unfurnished,Freehold,1,Sandeep Singh (Owner)
3 BHK Apartment / Flat for Sale,"Dwarka, New Delhi",41.5Lac,"@4,150/Sq",1000,West,Under Construction,2nd of 16 Floor,Semi Furnished,Co-Operative Society,3,Rajesh Sinha (Agent)
2 BHK Apartment / Flat for Sale,"Dwarka Sector 12, New Delhi",1.15Cr,"@10,455/Sq",1100,East,Ready to Move,3rd of 10 Floor,Unfurnished,Freehold,2,Deepak Handa (Agent)
