Category,Location,Cost,Rate,Area,Facing,Status,Floor,Furnishing,Ownership,Bathroom,Owner_name
4 BHK Apartment / Flat for Sale,"Dwarka, New Delhi",2.5Cr,"@10,870/Sq",2300,North-East,Ready to Move,4th of 5 Floor,Semi Furnished,Freehold,3,Sandeep Bansal (Agent)
3 BHK Apartment / Flat for Sale,"Dwarka, New Delhi",41.5Lac,"@4,150/Sq",1000,West,Under Construction,2nd of 16 Floor,Semi Furnished,Co-Operative Society,3,Rajesh Sinha (Agent)
2 BHK Apartment / Flat for Sale,"Dwarka Sector 12, New Delhi",1.15Cr,"@10,455/Sq",1100,East,Ready to Move,3rd of 10 Floor,Unfurnished,Freehold,2,Deepak Handa (Agent)
2 BHK Apartment / Flat for Sale,"Connaught Place, New Delhi",4Cr,"@27,586/Sq",1450,North-East,Ready to Move,4th of 10 Floor,Unfurnished,Leasehold,3,Raghwendra (Agent)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",85Lac,"@11,333/Sq",750,East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2,Vibhor kumar (Agent)
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",1.55Cr,"@15,500/Sq",1000,East,Ready to Move,2nd of 4 Floor,Unfurnished,Freehold,2,Harpreet singh (Agent)
3 BHK Apartment / Flat for Sale,"Dwarka Sector 7, New Delhi",1.75Cr,"@9,284/Sq",1885,North-East,Ready to Move,2nd of 8 Floor,Semi Furnished,Freehold,2,pramod gupta (Agent)
3 BHK Apartment / Flat for Sale,"Karol Bagh, New Delhi",2.75Cr,"@14,474/Sq",1900,North,Under Construction,1st of 11 Floor,Semi Furnished,Freehold,3,Mega Estate (Agent)
3 BHK Apartment / Flat for Sale,"Karol Bagh, New Delhi",2.55Cr,"@14,366/Sq",1775,North,Under Construction,5th of 11 Floor,Semi Furnished,Freehold,3,Mega Estate (Agent)
2 BHK Apartment / Flat for Sale,"Dwarka Mor, New Delhi",85Lac,"@136,568/Sq",62.24,East,Ready to Move,Ground of 1 Floor,Fully Furnished,Freehold,2,Abhishek Jha (Owner)
3 BHK Apartment / Flat for Sale,"Dwarka Sector 10, New Delhi",1.25Cr,"@8,532/Sq",1465,North-East,Ready to Move,3rd of 3 Floor,Semi Furnished,Freehold,3,mandeep luthra (Agent)
3 BHK Apartment / Flat for Sale,"Commonwealth Games Village 2010, New Delhi",3.55Cr,"@19,189/Sq",1850,North-East,Ready to Move,4th of 6 Floor,Semi Furnished,Freehold,3,Tarun Mahajan (Agent)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.45Cr,"@12,083/Sq",1200,North,Ready to Move,Ground of 4 Floor,Unfurnished,Freehold,2,Harpreet singh (Agent)
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",95Lac,"@7,917/Sq",1200,East,Ready to Move,3rd of 3 Floor,Semi Furnished,Freehold,2,Harpreet singh (Agent)
3 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@9,600/Sq",1250,North-East,Ready to Move,4th of 4 Floor,Unfurnished,Freehold,3,Harpreet singh (Agent)
4 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@9,600/Sq",1250,North-East,Ready to Move,4th of 4 Floor,Unfurnished,Freehold,3,Tarun Mahajan (Agent)
